iter	Passed	Remaining
0	6059	902795
1	11559	855389
2	16327	800035
3	20993	766268
4	25594	742248
5	30483	731599
6	35194	718975
7	40008	710158
8	44862	702840
9	49622	694714
10	54484	688491
11	59313	682099
12	64153	676076
13	68846	668790
14	73551	661965
15	78270	655516
16	82850	648179
17	87773	643672
18	92549	638102
19	97123	631305
20	101755	625070
21	106902	621975
22	111796	617310
23	116634	612332
24	121890	609452
25	127119	606261
26	132238	602420
27	137135	597520
28	141982	592410
29	146795	587180
30	151773	582614
31	157235	579804
32	162582	576429
33	168047	573338
34	173479	570004
35	178551	565412
36	183451	560269
37	188633	555972
38	194014	552196
39	199597	548894
40	204698	544198
41	209856	539629
42	215071	535177
43	220412	530993
44	225655	526528
45	231039	522350
46	236496	518279
47	241959	514164
48	247196	509526
49	252357	504714
50	257569	499988
51	262685	495061
52	267899	490307
53	273104	485519
54	278876	481695
55	284455	477479
56	289895	472987
57	295249	468327
58	300657	463725
59	306026	459039
60	311229	454089
61	316470	449184
62	321579	444086
63	326602	438872
64	331638	433680
65	336729	428564
66	341945	423603
67	347191	418672
68	352580	413898
69	357832	408950
70	363296	404231
71	368901	399643
72	374435	394952
73	379889	390157
74	385121	385121
75	390350	380078
76	395536	374988
77	400754	369926
78	405965	364855
79	411106	359718
80	416459	354762
81	421785	349773
82	427076	344748
83	432350	339703
84	437453	334523
85	442562	329348
86	447778	324253
87	453056	319199
88	458398	314183
89	463605	309070
90	468709	303888
91	473806	298704
92	478883	293509
93	484015	288349
94	489039	283128
95	494197	277985
96	499556	272953
97	504769	267836
98	509886	262668
99	515093	257546
100	520349	252446
101	525546	247316
102	530862	242238
103	536091	237117
104	541658	232139
105	547187	227134
106	552478	222023
107	557847	216940
108	563308	211886
109	568854	206856
110	574116	201716
111	579278	196541
112	584673	191441
113	590162	186367
114	595840	181342
115	601382	176267
116	606945	171189
117	612535	166111
118	617950	160978
119	623431	155857
120	629117	150780
121	634835	145699
122	640617	140623
123	646023	135456
124	651486	130297
125	656696	125085
126	661964	119883
127	667084	114655
128	672338	109450
129	677568	104241
130	682900	99046
131	688315	93861
132	693798	88680
133	699035	83466
134	704420	78268
135	709750	73062
136	715059	67852
137	720482	62650
138	726019	57454
139	731360	52240
140	736584	47016
141	741866	41795
142	747190	36575
143	752458	31352
144	757765	26129
145	763200	20909
146	768421	15682
147	773651	10454
148	778956	5227
149	784240	0
